node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius length R G B time type 
0 1 0 0.0000 0.0000 -3.0000 -0.0025 0.1142 -3.0080 0.0352 0.1145 0.4314 0.3922 0.1961 0.0333 1.0000 
1 2 0 -0.0025 0.1142 -3.0080 -0.0339 0.6124 -3.0369 0.0352 0.5000 0.4314 0.3922 0.1961 0.1792 1.0000 
2 3 0 -0.0339 0.6124 -3.0369 -0.0431 0.7172 -3.0423 0.0352 0.1054 0.4314 0.3922 0.1961 0.2100 1.0000 
3 4 0 -0.0431 0.7172 -3.0423 -0.0100 1.2136 -3.0929 0.0352 0.5000 0.4314 0.3922 0.1961 0.3569 1.0000 
4 5 0 -0.0100 1.2136 -3.0929 -0.0001 1.3238 -3.1165 0.0352 0.1132 0.4314 0.3922 0.1961 0.3902 1.0000 
5 6 0 -0.0001 1.3238 -3.1165 0.0308 1.8074 -3.2400 0.0352 0.5000 0.4314 0.3922 0.1961 0.5381 1.0000 
6 7 0 0.0308 1.8074 -3.2400 0.0385 1.8943 -3.2618 0.0352 0.0899 0.4314 0.3922 0.1961 0.5648 1.0000 
7 8 0 0.0385 1.8943 -3.2618 0.0716 2.3827 -3.3635 0.0352 0.5000 0.4314 0.3922 0.1961 0.7136 1.0000 
8 9 0 0.0716 2.3827 -3.3635 0.0734 2.4068 -3.3682 0.0352 0.0246 0.4314 0.3922 0.1961 0.7210 1.0000 
9 10 0 0.0734 2.4068 -3.3682 0.1731 2.8541 -3.5682 0.0352 0.5000 0.4314 0.3922 0.1961 0.8707 1.0000 
10 11 0 0.1731 2.8541 -3.5682 0.2178 2.9930 -3.6301 0.0352 0.1586 0.4314 0.3922 0.1961 0.9183 1.0000 
11 12 0 0.2178 2.9930 -3.6301 0.4398 3.3867 -3.8441 0.0352 0.5000 0.4314 0.3922 0.1961 1.0692 1.0000 
12 13 0 0.4398 3.3867 -3.8441 0.5030 3.5008 -3.8993 0.0352 0.1417 0.4314 0.3922 0.1961 1.1121 1.0000 
13 14 0 0.5030 3.5008 -3.8993 0.7137 3.9003 -4.1138 0.0352 0.5000 0.4314 0.3922 0.1961 1.2640 1.0000 
